INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2012
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 5 2.184,25 48 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 2 651,71 3 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 4 701,20 9 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 93 11.560,16 254 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 27 30.851,68 294 3 11,11
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 11 27.621,28 65 2 18,18
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 2 712,12 16 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 13 9.136,97 100 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 2 1.200,19 23 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 1.215,81 3 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 8 5.855,46 32 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 1 310,54 6 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 19 119.210,75 339 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 7 38.608,95 255 1 14,29
0305020013 TRATAMENTO DA PIELONEFRITE 3 4.711,41 47 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 1 760,66 3 1 100,00
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 1 489,77 10 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 5 1.822,49 36 - -
0310010039 PARTO NORMAL 361 230.819,17 583 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 21 16.360,97 52 - -
0401020070 EXERESE DE CISTO DERMOIDE 1 143,72 1 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 5 886,55 3 - -
0403020123 TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO 2 695,24 3 - -
0406020124 EMBOLECTOMIA ARTERIAL 2 3.261,90 1 - -
0407010335 TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO/ CONSERVADOR 1 1.846,37 3 - -
0407020039 APENDICECTOMIA 2 889,94 5 - -
0407020101 COLOSTOMIA 1 1.173,77 4 - -
0407020284 HEMORROIDECTOMIA 4 1.263,76 4 - -
0407030026 COLECISTECTOMIA 20 14.758,92 39 - -
0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA 2 1.282,82 2 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 2.691,68 8 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 3 2.270,06 3 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 8 4.746,08 10 - -
0407040129 HERNIOPLASTIA UMBILICAL 4 1.739,96 4 - -
0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE) 1 926,66 3 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 1 3.334,21 6 - -
0408050578 TRATAMENTO CIRURGICO DE FRATURA DO TORNOZELO UNIMALEOLAR 1 481,49 1 - -
0408060166 OSTECTOMIA DE OSSOS DA MAO E/OU DO PE 1 1.270,43 60 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 3 2.067,75 13 - -
0408060212 RESSECCAO DE CISTO SINOVIAL 1 91,49 1 - -
0408060441 TENOLISE 1 229,40 1 - -
0408060450 TENOMIORRAFIA 1 205,91 1 - -
0409020133 URETROPLASTIA AUTOGENA 2 1.003,10 8 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 2 1.293,36 7 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 272,97 2 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 2 935,32 2 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 580,08 3 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 874,70 3 - -
0409060135 HISTERECTOMIA TOTAL 3 2.190,09 6 - -
0409060186 LAQUEADURA TUBARIA 5 1.935,10 5 - -
0409060232 SALPINGECTOMIA UNI / BILATERAL 2 979,18 3 - -
0409070017 ALARGAMENTO DA ENTRADA VAGINAL 1 119,35 2 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 472,43 3 - -
0409070149 EXERESE DE CISTO VAGINAL 1 372,54 1 - -
0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN 1 139,96 1 - -
0409070254 TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL 1 1.403,03 19 - -
0410010111 SETORECTOMIA / QUADRANTECTOMIA 1 352,59 1 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 1.728,74 5 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 34 42.191,09 106 - -
0411010034 OPERACAO CESARIANA 207 170.498,34 384 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 13 14.649,69 25 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 2 291,16 4 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 52 12.854,72 74 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 3 2.583,99 9 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 7 8.409,71 18 - -
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 2 16.599,25 63 1 50,00
0415030013 TRATAMENTO CIRURGICO EM POLITRAUMATIZADO 1 1.706,69 7 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
